,size_l,og,fg,abv,ibu,color,boilsize,boiltime,boilgravity,efficiency,mashthickness,pitchrate,primarytemp,review_taste,beer_abv,sugarscale_Plato,sugarscale_Specific Gravity,brewmethod_All Grain,brewmethod_BIAB,brewmethod_Partial Mash,brewmethod_extract
91,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,4.208333333333333,6.7,0.0,1.0,1.0,0.0,0.0,0.0
92,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,4.0,5.2,0.0,1.0,1.0,0.0,0.0,0.0
93,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.837982832618026,6.2,0.0,1.0,1.0,0.0,0.0,0.0
94,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,4.333333333333333,8.0,0.0,1.0,1.0,0.0,0.0,0.0
95,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.5,5.0,0.0,1.0,1.0,0.0,0.0,0.0
96,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.0,8.5,0.0,1.0,1.0,0.0,0.0,0.0
97,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.9,6.6,0.0,1.0,1.0,0.0,0.0,0.0
98,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.75,6.0,0.0,1.0,1.0,0.0,0.0,0.0
99,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,4.25,7.8,0.0,1.0,1.0,0.0,0.0,0.0
100,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0
101,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.0,7.3,0.0,1.0,1.0,0.0,0.0,0.0
102,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,4.25,6.0,0.0,1.0,1.0,0.0,0.0,0.0
103,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.2333333333333334,6.0,0.0,1.0,1.0,0.0,0.0,0.0
104,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,4.071428571428571,5.7,0.0,1.0,1.0,0.0,0.0,0.0
105,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,4.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0
106,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.772727272727273,7.5,0.0,1.0,1.0,0.0,0.0,0.0
107,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.5,10.6,0.0,1.0,1.0,0.0,0.0,0.0
108,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.5,7.0,0.0,1.0,1.0,0.0,0.0,0.0
109,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0
110,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.625,4.5,0.0,1.0,1.0,0.0,0.0,0.0
111,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.8333333333333335,8.5,0.0,1.0,1.0,0.0,0.0,0.0
112,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.465045592705167,7.3999999999999995,0.0,1.0,1.0,0.0,0.0,0.0
113,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.7,5.61,0.0,1.0,1.0,0.0,0.0,0.0
114,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,4.204241071428571,10.0,0.0,1.0,1.0,0.0,0.0,0.0
115,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0
116,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,4.208333333333333,6.7,0.0,1.0,1.0,0.0,0.0,0.0
117,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,4.0,5.2,0.0,1.0,1.0,0.0,0.0,0.0
118,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.837982832618026,6.2,0.0,1.0,1.0,0.0,0.0,0.0
119,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,4.333333333333333,8.0,0.0,1.0,1.0,0.0,0.0,0.0
120,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.5,5.0,0.0,1.0,1.0,0.0,0.0,0.0
121,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.0,8.5,0.0,1.0,1.0,0.0,0.0,0.0
122,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.9,6.6,0.0,1.0,1.0,0.0,0.0,0.0
123,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.75,6.0,0.0,1.0,1.0,0.0,0.0,0.0
124,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,4.25,7.8,0.0,1.0,1.0,0.0,0.0,0.0
125,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0
126,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.0,7.3,0.0,1.0,1.0,0.0,0.0,0.0
127,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,4.25,6.0,0.0,1.0,1.0,0.0,0.0,0.0
128,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.2333333333333334,6.0,0.0,1.0,1.0,0.0,0.0,0.0
129,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,4.071428571428571,5.7,0.0,1.0,1.0,0.0,0.0,0.0
130,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,4.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0
131,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.772727272727273,7.5,0.0,1.0,1.0,0.0,0.0,0.0
132,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.5,10.6,0.0,1.0,1.0,0.0,0.0,0.0
133,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,3.5,7.0,0.0,1.0,1.0,0.0,0.0,0.0
134,20.82,1.084,1.022,8.12,30.27,12.88,26.5,60.0,1.066,75.0,1.5,0.0,23.89,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0
135,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,3.625,4.5,1.0,0.0,1.0,0.0,0.0,0.0
136,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,3.8333333333333335,8.5,1.0,0.0,1.0,0.0,0.0,0.0
137,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,3.465045592705167,7.3999999999999995,1.0,0.0,1.0,0.0,0.0,0.0
138,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,3.7,5.61,1.0,0.0,1.0,0.0,0.0,0.0
139,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,4.204241071428571,10.0,1.0,0.0,1.0,0.0,0.0,0.0
140,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,3.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
141,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,4.208333333333333,6.7,1.0,0.0,1.0,0.0,0.0,0.0
142,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,4.0,5.2,1.0,0.0,1.0,0.0,0.0,0.0
143,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,3.837982832618026,6.2,1.0,0.0,1.0,0.0,0.0,0.0
144,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,4.333333333333333,8.0,1.0,0.0,1.0,0.0,0.0,0.0
145,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,3.5,5.0,1.0,0.0,1.0,0.0,0.0,0.0
146,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,3.0,8.5,1.0,0.0,1.0,0.0,0.0,0.0
147,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,3.9,6.6,1.0,0.0,1.0,0.0,0.0,0.0
148,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,3.75,6.0,1.0,0.0,1.0,0.0,0.0,0.0
149,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,4.25,7.8,1.0,0.0,1.0,0.0,0.0,0.0
150,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
151,19.0,14.8899,3.86637,5.97,0.0,43.93,26.0,60.0,11.0,78.0,3.5,0.0,0.0,3.0,7.3,1.0,0.0,1.0,0.0,0.0,0.0
